0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,label
-164.86458,115.4184,9.210237,6.6039977,13.448955,-15.594939,-3.2854877,-5.4820814,-2.2235641,3.9361145,-1.8092216,-6.4687643,-1.2801175,0.6372388,-3.716884,-3.0088558,-3.6167865,-0.5326634,-6.252582,-2.9510648,-9.8814125,-7.693189,-4.1702876,-2.0687509,-2.3764157,0.07389609,-2.955134,-0.8268082,-2.670161,-0.61620206,0
-85.44393,50.024097,25.308079,11.920931,-1.3495754,-2.9472048,-10.826738,-0.9573376,-9.43315,0.5366501,-6.312172,-1.0810014,-11.215987,-0.24230792,-10.557531,-6.463519,-3.3333204,-6.7782497,-6.5762534,-2.7923627,-6.796281,-3.751279,-2.9388757,-5.7466764,-4.1499753,-3.0312953,-5.583769,-4.5278044,-6.2035065,-4.0359216,0
-159.62787,92.3991,10.027985,42.69524,-10.145677,-11.08203,-15.302072,-9.999508,-7.2305746,-7.908084,-8.88019,-8.360313,-9.541513,-0.15186283,-9.191115,-5.092023,-7.5655503,-4.3252892,-10.584929,-5.3107634,-6.7816806,-5.1403008,-6.9655957,-2.4646351,-6.9078207,-4.932817,-3.6236613,-5.146464,-3.031968,-2.7157629,0
-122.6294,98.15127,12.426086,29.811855,-14.07884,-11.545253,-17.418062,-6.793881,-17.033579,-3.5188043,-14.980298,-13.647602,-8.389289,-10.403485,-9.174942,-8.786688,-8.532756,-5.233095,-7.799828,-4.309994,-8.711931,-6.7832575,-8.600277,-7.024662,-10.071131,-5.252349,-7.7855387,-5.962005,-8.418831,-5.8767853,0
-65.26537,123.5546,-38.554962,6.158578,-14.966156,-8.327739,-19.021118,0.7245252,-1.3608166,-0.82684314,-2.1720912,-5.8118935,-8.785422,1.3331039,-5.735044,3.8611238,-0.019334488,-2.6473186,-5.93274,1.1834793,-2.7788374,1.2104955,0.8005841,1.1214397,-2.1494486,1.3570374,-1.1015893,1.5629011,-2.928039,4.1666327,0
-144.92548,120.03607,12.971864,13.34541,10.310096,4.4218583,-15.751428,-6.048597,-8.113535,0.8579003,-0.18160893,4.820182,-2.2584171,2.8239214,1.878002,-5.089606,1.6264737,1.1625519,-6.067555,-1.3392742,-1.259725,0.804718,-3.021256,0.6356339,-0.66311926,-2.941459,-1.7964483,3.7924201,-2.5366704,-2.3352385,0
-109.47591,109.23195,16.865845,34.09527,-8.710098,-2.2787285,-8.927751,-5.368007,-9.422438,1.4186975,-3.1168835,0.8839761,-5.861797,3.581985,-5.0996547,-5.2945023,-1.4874749,-0.27746218,-9.378701,-1.3049344,-2.9187152,-4.221848,-4.2342825,-0.8031447,-3.2216883,-2.8267868,-1.3964952,-1.5226645,0.22114168,2.7645962,0
-143.11078,98.113625,-59.891136,42.00227,-32.04192,-9.369959,-25.546495,-14.548828,-10.103657,-1.1188447,-3.3796062,3.1900907,-18.48956,-0.95427066,-4.903599,-13.561397,-8.155098,1.5860728,-11.21094,-3.61997,-4.111195,-4.478425,-5.6852775,-0.30382046,-4.8421226,-2.2019913,-4.517104,-0.92845154,-2.4019692,-3.2235851,0
-81.7206,63.436714,-6.0214314,27.732634,-13.56556,-15.173134,-8.251278,-16.119526,-5.732064,-2.8202589,-2.9891236,-0.7000917,-7.187804,4.232376,-5.8806214,-0.7280399,-4.7702155,2.441059,-8.642585,6.058431,-4.8390255,0.7620125,-1.2502075,-0.88915515,-4.482723,-3.234346,-2.4748478,-3.5854688,0.89457494,2.2872524,0
-185.37541,101.985634,6.80318,19.527351,-7.7499375,-6.271441,-0.89961404,-8.881871,-20.503355,1.982715,-5.444631,-7.07143,-1.9872794,-7.15455,0.5225639,-7.6084256,-9.439019,0.8673335,-15.853815,-3.3266766,-5.3267007,-7.735673,-5.26522,-2.866872,-6.8192515,-4.0913687,-3.8849866,-5.188508,-5.502168,-1.7975407,0
