0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,label
-0.32253563,0.57864857,0.7588215,-0.8811173,1.8022171,-0.85260403,1.0916245,0.18369474,0.6986445,1.0444268,0.44975293,-0.52184814,0.60156864,0.2683346,0.5381713,0.016047988,0.29123223,0.5982995,-0.16168624,-0.18840894,-1.4167886,-1.4359018,-0.15778229,-0.17075054,0.2039146,0.31010008,-0.18804458,-0.04135623,-0.24420607,-0.058694288,0
1.2083566,-1.8580855,1.540275,-0.51669127,0.6467707,0.34197676,0.27557337,0.6958073,-0.25738087,0.5381038,-0.27956256,0.37507918,-1.0414113,0.11472979,-0.8121998,-0.6962989,0.35703576,-0.91424084,-0.24238636,-0.14542541,-0.5706801,-0.37610897,0.20528309,-1.1875298,-0.3032231,-0.56039107,-0.92504865,-1.0696585,-1.2407551,-1.0239042,0
-0.22159417,-0.2791007,0.79851824,1.5925995,-0.04001542,-0.42635894,-0.20870975,-0.32758966,0.03469114,-0.71967155,-0.69548887,-0.8367436,-0.7645229,0.1305252,-0.5424638,-0.41349825,-0.62542975,-0.32018906,-1.241859,-0.8275192,-0.5666759,-0.74955106,-0.9819416,-0.28019455,-1.0918108,-1.0934526,-0.3754831,-1.2415497,-0.3462506,-0.6512917,0
0.49157897,-0.064762436,0.9149317,0.70956415,-0.3471108,-0.4701104,-0.43768454,0.03522466,-1.2652339,-0.06592358,-1.6834862,-1.7169445,-0.57399285,-1.659827,-0.53927106,-1.1753331,-0.84995586,-0.5400392,-0.547457,-0.5564668,-1.0960541,-1.1912643,-1.4639056,-1.5408347,-1.9963386,-1.1830282,-1.5423703,-1.4681436,-1.8655678,-1.5434849,0
1.5973134,0.88182104,-1.5598917,-0.9116466,-0.41639104,-0.16621561,-0.61115384,0.8861613,0.81304896,0.33502245,0.39098117,-0.41249564,-0.63949686,0.38986108,0.13977847,1.4326284,1.126341,0.086177655,-0.08194091,0.93140763,0.5311182,0.957877,1.3078128,0.7111921,0.26881436,0.6698084,0.33164334,0.62261194,-0.31693834,1.2912526,0
0.06180545,0.75071293,0.94142586,-0.4190565,1.5571399,1.037986,-0.2573353,0.11957625,-0.0823936,0.5859515,0.71336746,1.3574781,0.43979853,0.6502187,1.6426241,-0.41299987,1.5083972,1.0088425,-0.115553916,0.24813491,0.94774026,0.84878266,0.18099436,0.57688886,0.6938205,-0.53520685,0.13682212,1.242072,-0.20655625,-0.54388934,0
0.7451224,0.3481278,1.1304553,1.003152,0.072072335,0.40511444,0.48106596,0.19660571,-0.25596032,0.6694777,0.2379589,0.7021986,-0.1560507,0.78260756,0.26520684,-0.45524922,0.7855284,0.6601035,-0.94111323,0.25743565,0.49275622,-0.50262266,-0.17665033,0.17913203,-0.037785526,-0.50306034,0.24895906,-0.23469624,0.5712604,0.8955302,0
0.0967851,-0.06616511,-2.5956347,1.545103,-1.7496403,-0.2646535,-1.3172756,-0.84248376,-0.3462932,0.29153115,0.19540729,1.0861088,-2.2441578,-0.009607992,0.30390906,-2.1598716,-0.7622868,1.1114097,-1.3979406,-0.3695779,0.16571434,-0.5716041,-0.60445684,0.31717247,-0.50113803,-0.32790884,-0.62598234,-0.06959729,-0.16856495,-0.7946237,0
1.2801267,-1.3583022,0.019415574,0.56705296,-0.3070347,-0.8127644,0.5542682,-1.0202562,0.2334008,0.038119167,0.25865138,0.4384911,-0.37531722,0.89619243,0.1110409,0.48634914,0.023476385,1.3184682,-0.75757927,2.2517593,-0.033895772,0.83730114,0.70316434,0.15535405,-0.39837018,-0.61731315,-0.053384263,-0.8078356,0.76119626,0.7608008,0
-0.71789736,0.07811437,0.6419734,0.004657678,0.1470402,0.028002065,1.3498038,-0.20109503,-1.7253426,0.7534836,-0.13905226,-0.6221769,0.48463345,-1.0924301,1.3750551,-0.93237704,-1.0603349,0.9373472,-2.5555363,-0.29014114,-0.16764244,-1.4473236,-0.48060855,-0.39139476,-1.066485,-0.8575659,-0.44875225,-1.2532315,-1.0429487,-0.3921251,0
0.7406033,-0.4686405,0.79040223,-0.09560416,0.1438711,-0.13350481,-0.3085694,0.8178348,-0.9168564,-0.6733296,-0.1456116,0.7975939,-0.8300567,-0.016085329,-0.48987713,0.10119104,0.5339309,-0.1597526,-0.024256906,-0.01260045,0.14394473,0.081879936,-0.81545275,-0.48620948,-1.2016008,-0.7760121,-0.63554984,-0.8084823,-1.7407944,-0.58896077,0
-0.94767743,1.7076627,-0.9377931,-0.27122948,-0.13493244,-0.8745135,-0.1460627,-0.7292704,0.10072548,-0.48928368,0.9694485,-0.06528759,-0.25223693,0.6673836,0.007695974,-0.61696774,-0.6515337,-0.21187301,-1.2442952,-0.13202858,-0.53480726,-1.7259911,-0.44446495,-1.038563,-0.62570935,0.11322704,-0.8409165,-0.16928716,-0.38704005,-0.5214063,0
0.48183432,-2.1020768,-0.5308564,-0.65580577,-0.92762536,0.09395706,-0.833827,-1.2000507,-0.2701563,-1.8445144,0.39444575,-1.0823772,-0.23597896,0.14699644,-0.99314463,0.2900668,-0.08860309,0.15335435,0.5975447,0.9051731,0.32222468,1.9862399,0.42688048,1.6281857,-0.013251737,0.9387385,-0.036354408,0.108455166,-0.042116296,-0.16710708,0
-0.9130234,0.4345263,1.206444,-0.7504493,0.62459797,0.2674271,-1.7028172,0.09739428,-1.3374177,-2.3488333,-0.045410607,-1.5798806,-3.5229843,1.2532936,-1.67707,-3.6765559,0.9109566,-3.0363665,-1.9776661,-1.0202771,-2.4480455,-1.4783301,-0.268871,-1.4966276,0.6557511,0.4309282,-0.6282774,1.2333701,-0.5893123,-0.7251191,0
-1.2475718,-0.8354278,-0.8197719,-1.3394364,-1.782841,-2.1070514,-1.1913949,-1.4329771,-1.4420795,-0.2755697,-2.1943827,-1.5544525,-2.6737466,-1.8952991,-1.6225597,-1.7056168,-0.5455154,-0.73219955,-0.42626643,-0.09072341,0.36151686,-1.202647,-0.9525385,-0.2755924,-2.029724,-2.173022,-1.9666145,-1.9000549,-0.47731367,-0.8274479,0
1.0554217,-0.10381506,1.1786585,0.34805387,-0.29153517,0.58713496,0.7115675,-0.72128564,0.37718546,0.14874336,-0.2658536,1.3894556,-0.31099713,0.96234435,0.7739185,-0.36024523,0.22900328,-0.7209286,-1.0715588,0.22294682,-0.542928,-0.24197985,0.3999863,-0.12613586,0.3302145,0.7531038,-0.31965357,-0.059346627,0.06097782,-0.8972481,0
0.41225797,0.034357924,0.80229855,1.0911067,1.5611588,0.58559424,1.3725477,-0.93034196,-1.1947122,0.0315842,-0.202409,-0.20002449,-2.3606896,0.54154307,0.72532326,-1.9163611,0.6865351,-0.34370977,-1.2947587,1.1259086,0.06719041,-0.2866493,-0.7770826,-0.59542525,-1.280352,-1.0404974,-0.6297816,-0.8718488,-0.22135587,-0.9866728,0
-0.30918357,1.327591,-0.82301295,0.6118587,-1.5884646,-0.024476945,0.6757658,-0.9499292,-1.176185,0.52601266,-0.11150625,0.57997656,-1.4531206,0.34125987,-0.59788895,-1.8276876,-0.54406184,-1.855401,-2.0922682,-0.9737323,-1.807724,-1.6258588,-1.3770928,-2.1831052,-1.2113856,-1.8638424,-0.69262576,-1.7856293,-1.1765227,-1.4694338,0
1.5180247,2.124112,0.28143838,-1.4859953,1.3889655,-0.20711106,-1.0115354,0.07388947,-0.18076211,-0.6754198,-0.27023584,-0.38758883,-0.54681313,1.0377171,-1.1331024,0.83500147,-0.30687097,-0.7886057,-0.11125598,-1.4232366,0.5826885,-0.79251945,0.116723135,0.057557136,-1.316665,-0.3092738,0.0028562383,-1.4665575,-0.19848496,-0.40238476,0
0.108524784,-0.19814914,0.26439393,-0.97325474,-0.04128045,-0.32170707,-1.4077916,0.19424905,-0.656004,-1.7222793,-0.73538333,0.42989203,-1.4155866,0.77366346,-1.3387595,0.08027883,0.03624078,-0.43888772,0.6994441,-0.20731221,0.7958506,-0.040507644,0.58370066,-0.008207053,-0.43579498,-0.04114268,-0.5705305,-0.57285047,-1.3264823,-0.00496958,0
0.6937762,0.009872498,-1.1680827,0.066342786,-1.2927592,-0.5771165,0.119182415,-0.72429025,0.42247066,1.3390148,0.4386379,0.97823656,-0.016042778,0.1897852,0.21769968,-0.24577512,0.8052233,-0.11868162,0.6843665,0.8527976,-0.18884043,-0.23487891,0.03215094,-0.5273591,-0.23002893,-0.073972076,-0.50009656,0.018311359,0.33327702,0.9598188,0
-0.018877922,-0.071853995,-1.0531464,-0.29844117,-0.50753826,-2.2136009,-0.43630746,-1.3901784,-0.5425194,0.4171347,-0.3737321,-1.4952897,0.96498746,-0.7856103,-0.2035855,-0.49520472,-0.54683137,-0.47711667,-0.8069316,-0.4154217,0.3301727,-0.98880315,-0.59836227,0.0069261533,-2.0241313,-0.98481536,-0.19982536,-2.3281975,0.20126183,0.047605947,0
-0.18938841,-0.11947107,-0.6335974,0.56943905,-0.59182096,-0.012157924,-0.624303,-1.2094059,0.62248355,-1.5130124,0.3192992,-0.16615061,-0.5813687,-0.51791775,-0.6863859,-1.2812433,1.1622032,-1.2187061,-0.7051238,-0.17210026,-0.5939983,-0.15659791,-1.5835125,-0.924074,-0.41648844,-0.55389774,-0.17896393,-0.10090061,-0.42793965,-0.6104253,0
0.019782988,-0.89376795,-0.44917697,0.42275637,-1.8847247,-0.18272784,0.05765373,-1.2487965,0.22864357,-0.44170377,0.63007087,-0.37520272,-0.46567753,-0.34553412,-2.020245,-0.7309523,-2.0795245,-1.2767739,-2.0006967,0.2185539,-1.309275,-0.28113392,-0.5245432,-1.6173818,-0.86033696,-1.3932283,-1.605304,-1.070675,-1.1434895,-1.3035426,0
1.8395921,-0.9084682,-0.40291128,0.19007684,1.094332,0.22872503,0.8750945,0.1608348,0.1925646,1.5815386,0.15840364,0.72573584,-0.33702946,0.7597074,-0.022477914,-0.85296404,0.91196924,-1.6445134,0.16461408,0.16484712,-1.3164088,-0.7024977,-0.6721344,-0.5744269,0.18841839,-0.5504073,-0.19294244,-1.1204536,-0.74321866,-0.6562644,0
-0.22825727,0.26930875,0.69745386,0.89973575,0.21956895,0.20176567,-0.21309023,0.54741716,0.1328519,0.9103816,-1.6038991,0.63382757,-1.6153611,0.9903938,-1.0508364,-1.3176517,1.6601613,-1.0840032,-0.3277467,-0.13418059,-1.9582677,0.08704328,-1.3244479,0.14816557,-0.46914867,-0.5561408,0.292963,-0.65394354,0.15388638,0.039845258,0
0.95725,-0.29330996,-0.33801115,-0.27649355,0.09894099,-0.34367064,-1.540308,-0.780952,0.13676177,-0.8080003,0.3241561,0.15275253,-2.3353271,1.0881726,2.147495,2.2985659,4.0854726,2.2031178,0.12973087,0.4404232,1.1376326,2.617349,-0.14540343,-1.2984475,0.984759,2.0624967,1.5288241,-0.2526122,0.79529214,1.6526581,0
-0.7004972,-0.28388694,-0.6819794,-1.2193142,0.42234898,-0.7605936,-1.2242498,-0.32097474,-2.0143247,-0.6183272,-1.3259511,0.086462066,-2.0892944,-0.31401,-0.5551411,-1.3244514,-0.830271,-0.9259738,-0.96997035,-1.5081193,-0.3387634,-1.8668762,-1.0908823,-1.0752662,-1.1513333,-0.91909146,-1.0174083,-1.2176808,-1.2708137,-1.0447812,0
-1.6770194,-0.5775287,-0.48117697,1.0799128,0.9950431,-0.70943975,0.85865945,-0.038178366,-1.4450217,-0.1659491,-1.2251221,0.47006342,-0.6364525,-0.4445436,1.324259,-2.060915,0.5182365,0.11058055,-1.1752888,0.6754609,0.662936,-1.2541829,0.08042135,-0.7849454,-0.15604061,-0.68387437,-0.2024751,-0.36799178,-0.38223535,-0.5426141,0
0.4899535,0.3036834,-0.8146075,0.024992345,0.0704312,-1.7278292,-0.3194166,-0.7858117,-0.34159198,0.046289217,0.14053549,-0.1472899,-0.055430405,0.5819643,-0.026788859,0.821013,1.139468,1.9050717,0.5180955,0.11822661,-0.065396816,-0.48895025,0.5940568,-0.64596003,0.81920177,0.32684636,0.46258456,-0.068366274,0.13987309,0.09381567,0
-0.5871254,2.1291013,-1.5357342,0.001726299,-0.61554366,0.66620964,-0.78188676,-1.4634455,0.58990276,-1.1638825,1.1199116,1.8250085,-0.2376553,1.3542609,1.556837,-0.19325933,2.4961054,1.9256763,0.3562788,0.13873543,-0.64811313,-0.21655263,-1.3576145,-0.6877986,0.3181739,-0.65466833,-0.29595295,-0.70993155,1.713822,0.56542367,0
-1.5628381,-0.3989172,-0.7246057,0.030270474,-0.33210564,-1.2982734,0.3610393,-1.0659004,0.6372504,-1.1231703,-0.50976074,1.337479,-1.0327011,0.57017434,-0.40493333,-0.7088035,1.0089402,0.49871862,0.49094886,0.34162176,1.1383107,1.1181312,2.3702989,1.6384537,1.7121402,0.5680309,0.22821186,0.34049043,0.006369451,0.29747254,0
0.5702111,-0.14457284,0.23479307,1.6656039,0.9344267,-0.041164186,0.91179615,-0.045262236,0.16902527,-0.0036543258,-0.5855191,-0.22448976,-0.5148723,1.1377203,0.61664146,-0.3337892,0.4802744,-0.19838624,-0.4782131,0.65698034,-0.38089755,-0.37478936,-0.27112603,-0.2538184,0.009393423,-0.020158779,-0.6463279,-0.5016571,-0.029771432,-0.085206546,0
-0.58916277,-0.027306663,0.79780877,-0.43551022,1.0125697,0.15945263,-0.61544317,-0.28504163,-0.60680634,-0.16195247,0.62537384,-0.081322275,-0.42335474,0.64399755,0.88917685,0.27120847,0.3846197,0.02730796,-1.1560607,0.3407324,0.6060691,-0.8331883,-0.630447,-0.19245698,-0.4791962,-0.22131062,0.22751048,-0.5229153,-0.250651,-0.51388633,0
-0.870055,1.9633796,0.9231102,1.422567,1.4867964,1.2168081,0.7433831,-0.6102545,0.008000061,0.6209561,0.56709385,0.26410672,-0.1440822,0.6204281,1.939388,0.22332297,0.7454422,0.32919782,0.43287525,-0.1592629,2.2129793,-0.84540886,0.31270775,1.1844577,-1.6127795,0.08417695,1.2901702,-0.10756082,0.901789,0.0022513624,0
1.051208,-0.87374926,-0.1433404,1.0428333,-0.4086726,0.56464237,-1.3848724,0.20566936,-0.041942023,-0.40546227,-0.15743858,1.2193515,-1.5341833,1.8622468,-0.51260644,-0.99412096,1.0446025,-1.5452551,0.37050775,-0.77190006,-0.22330104,-0.688132,-0.6149394,-0.49582115,-0.3553288,-0.9747881,0.092065014,-0.6718687,-0.61871386,-0.6774055,0
1.0160462,-1.5090057,0.53994745,-1.0132968,-0.41923442,-1.0742912,-1.9022006,-1.3488857,-1.4347923,0.041412663,-1.3228712,1.0688729,-2.4564412,-1.0432138,-0.98532337,-2.0904303,-2.4665139,-2.2735517,-4.76238,-0.3184382,-1.1056035,-2.296314,-1.6782434,-0.4470851,1.5704912,2.2650142,2.4897997,2.503723,2.2473824,1.2077311,0
0.7263059,-0.09136325,0.24090044,0.85782135,0.721971,0.89391166,0.4991314,1.4102472,-0.35956538,0.40397725,1.270203,2.0846388,1.2164241,2.3813212,1.065192,0.5445246,0.35477617,1.505254,-0.22578524,1.7108474,1.1636442,0.45124197,0.5877963,0.9963898,0.5006896,0.22234876,-0.006733984,-0.64863104,0.39816532,-0.6022564,0
-0.15027042,-0.57584006,0.61946076,-0.08320786,-0.45653543,0.5720323,-0.1600038,-1.3271717,0.054718066,-0.8194993,-0.46953773,0.4476768,-1.0527912,0.25019825,-0.6593525,-0.34123552,-0.12601548,-0.48990726,-0.941784,0.26350906,-0.78723073,-0.4847138,-0.43925205,-0.983818,-0.82297206,-0.85109806,-0.8428155,-0.71683675,-0.5387501,-0.5255569,0
